date	unique_page_creators
2020-01-02	77
2020-01-03	80
2020-01-04	82
2020-01-05	77
2020-01-06	67
2020-01-07	77
2020-01-08	71
2020-01-09	79
2020-01-10	65
2020-01-11	76
2020-01-12	69
2020-01-13	83
2020-01-14	85
2020-01-15	82
2020-01-16	80
2020-01-17	77
2020-01-18	79
2020-01-19	73
2020-01-20	75
2020-01-21	81
2020-01-22	66
2020-01-23	76
2020-01-24	70
2020-01-25	78
2020-01-26	55
2020-01-27	83
2020-01-28	79
2020-01-29	71
2020-01-30	85
2020-01-31	89
2020-02-01	66
2020-02-02	84
2020-02-03	84
2020-02-04	103
2020-02-05	74
2020-02-06	80
2020-02-07	78
2020-02-08	66
2020-02-09	62
2020-02-10	81
2020-02-11	80
2020-02-12	82
2020-02-13	83
2020-02-14	67
2020-02-15	85
2020-02-16	91
2020-02-17	81
2020-02-18	77
2020-02-19	81
2020-02-20	81
2020-02-21	96
2020-02-22	69
2020-02-23	84
2020-02-24	77
2020-02-25	72
2020-02-26	87
2020-02-27	76
2020-02-28	78
2020-02-29	77
2020-03-01	61
2020-03-02	83
2020-03-03	83
2020-03-04	93
2020-03-05	85
2020-03-06	75
2020-03-07	70
2020-03-08	85
2020-03-09	91
2020-03-10	74
2020-03-11	77
2020-03-12	69
2020-03-13	72
2020-03-14	66
2020-03-15	75
2020-03-16	88
2020-03-17	89
2020-03-18	81
2020-03-19	84
2020-03-20	90
2020-03-21	95
2020-03-22	102
2020-03-23	104
2020-03-24	112
2020-03-25	119
2020-03-26	100
2020-03-27	102
2020-03-28	91
2020-03-29	106
2020-03-30	107
2020-03-31	101
2020-04-01	111
2020-04-02	98
2020-04-03	97
2020-04-04	86
2020-04-05	83
2020-04-06	97
2020-04-07	119
2020-04-08	97
2020-04-09	98
2020-04-10	85
2020-04-11	94
2020-04-12	95
2020-04-13	96
2020-04-14	109
2020-04-15	92
2020-04-16	94
2020-04-17	103
2020-04-18	96
2020-04-19	104
2020-04-20	107
2020-04-21	101
2020-04-22	103
2020-04-23	92
2020-04-24	86
2020-04-25	72
2020-04-26	86
2020-04-27	92
2020-04-28	92
2020-04-29	105
2020-04-30	102
2020-05-01	91
2020-05-02	89
2020-05-03	106
2020-05-04	103
2020-05-05	88
2020-05-06	92
2020-05-07	86
2020-05-08	72
2020-05-09	74
2020-05-10	87
2020-05-11	96
2020-05-12	100
2020-05-13	107
2020-05-14	95
2020-05-15	104
2020-05-16	67
2020-05-17	67
2020-05-18	79
2020-05-19	95
2020-05-20	83
2020-05-21	74
2020-05-22	91
2020-05-23	72
2020-05-24	93
2020-05-25	99
2020-05-26	88
2020-05-27	83
2020-05-28	90
2020-05-29	85
2020-05-30	77
2020-05-31	84
2020-06-01	99
2020-06-02	82
2020-06-03	73
2020-06-04	73
2020-06-05	85
2020-06-06	66
2020-06-07	76
2020-06-08	88
2020-06-09	92
2020-06-10	95
2020-06-11	80
2020-06-12	81
2020-06-13	71
2020-06-14	85
2020-06-15	78
2020-06-16	90
2020-06-17	84
2020-06-18	82
2020-06-19	77
2020-06-20	69
2020-06-21	71
2020-06-22	73
2020-06-23	71
2020-06-24	75
2020-06-25	70
2020-06-26	70
2020-06-27	52
2020-06-28	63
2020-06-29	81
2020-06-30	66
2020-07-01	63
2020-07-02	73
